n_features,damping,reg,bias_value,avg_hr,avg_ndcg
500,-,0.0001,False,0.12670639981766071,0.00043814017136024327
500,5.0,0.0001,True,0.11694445926220486,0.0005327329709395883
1500,5.0,0.0001,True,0.18796463781891187,0.00011907139287296682
500,-,0.001,False,0.2732179487801211,0.00012173288165349055
500,10.0,0.0001,True,0.11651285831365266,0.0005236969159279262
1500,-,0.0001,False,0.2541353675154819,0.00016268868575924
500,5.0,0.001,True,0.23587234310820576,8.766462921139134e-05
1500,10.0,0.0001,True,0.18671348001299654,0.00012307913273861763
500,10.0,0.001,True,0.2357850530287233,8.9596539185553e-05
1500,-,0.001,False,0.2775582055099438,0.00012498113071863693
1500,5.0,0.001,True,0.2407751359058043,9.186263783847142e-05
500,-,0.01,False,0.23115867881615254,0.0
1500,10.0,0.001,True,0.24066359858202116,9.511754109306248e-05
500,5.0,0.01,True,0.24706487107740205,0.0
1000,-,0.0001,False,0.2594164173241711,0.00013617791615397142
1000,-,0.001,False,0.27625370376656694,0.00012015061123697776
1500,-,0.01,False,0.23114897991843228,0.0
500,10.0,0.01,True,0.24637624933926258,0.0
1000,5.0,0.0001,True,0.1651770776251279,0.0001817260220398577
1500,5.0,0.01,True,0.2471764084011852,0.0
1000,10.0,0.0001,True,0.16331973871169542,0.00017695256492686516
1000,-,0.01,False,0.23109563598097077,0.0
1000,5.0,0.001,True,0.2405132656673569,8.28244569892545e-05
2000,-,0.0001,False,0.2648478000475246,0.0001383812816450957
1000,10.0,0.001,True,0.24194870252995748,8.940180990473501e-05
2000,-,0.001,False,0.27873177213409694,0.00011419251216971104
1500,10.0,0.01,True,0.24641504493014368,0.0
1000,5.0,0.01,True,0.24712791391258385,0.0
2000,5.0,0.0001,True,0.19651421615933348,0.00011099395018583614
2000,10.0,0.0001,True,0.19539884292150198,0.00011131407045870309
2000,-,0.01,False,0.23118292606045324,0.0
2000,5.0,0.001,True,0.241153392916895,8.281944705435761e-05
1000,10.0,0.01,True,0.24640049658356328,0.0
2000,10.0,0.001,True,0.2413764675644613,8.516673981156649e-05
2000,5.0,0.01,True,0.24721035454320617,0.0
2000,10.0,0.01,True,0.24654113060050725,0.0
