n_features,damping,reg,bias_value,avg_hr,avg_ndcg
500,,0.0001,False,0.6235324355387011,0.2763587168361035
500,,0.001,False,0.6717844516970646,0.30898184486612806
500,5.0,0.0001,True,0.5402964953033088,0.21396402516361177
500,,0.01,False,0.14626422707059342,0.04172131254982187
1500,,0.0001,False,0.6849070603125955,0.3206575827103536
1500,5.0,0.0001,True,0.5767401034872387,0.2391767184460838
500,10.0,0.0001,True,0.5724095456551362,0.2403388900256798
1500,,0.001,False,0.7056093574965205,0.3361552985826499
1000,,0.0001,False,0.6721239131172743,0.3097014484486857
1500,,0.01,False,0.1475444815696696,0.04416028907495104
1000,,0.001,False,0.6941501098400167,0.3273135391205673
1000,,0.01,False,0.15348020697447734,0.04502348926743159
500,5.0,0.001,True,0.5704794650088018,0.2311871813845481
1500,10.0,0.0001,True,0.6096969579407301,0.27103186769170184
500,10.0,0.001,True,0.6183774714003754,0.27180253686448363
500,5.0,0.01,True,0.11407843498586386,0.033489635854420455
500,10.0,0.01,True,0.18810042238699573,0.05667756100984737
1000,5.0,0.0001,True,0.5677734725448452,0.23317557617209192
1500,5.0,0.001,True,0.5797031167407825,0.23750770710278304
2000,5.0,0.001,True,0.5806875548593903,0.23842929894179982
2000,,0.0001,False,0.6901250672861029,0.32518774765529435
2000,5.0,0.0001,True,0.5824042597558787,0.24280846174494586
2000,,0.001,False,0.7150997289158088,0.341405232337336
1500,10.0,0.001,True,0.6274653385642722,0.27931368198619466
1000,10.0,0.0001,True,0.600177489828281,0.2641382939371957
2000,10.0,0.001,True,0.6282460998307542,0.27993651246851997
1500,5.0,0.01,True,0.11707539438142855,0.034693441368082986
2000,,0.01,False,0.15778651756227904,0.047355102442197795
2000,5.0,0.01,True,0.11717723280749143,0.0348528903294598
1500,10.0,0.01,True,0.19112162902686108,0.05833398475575874
2000,10.0,0.01,True,0.1919217880887837,0.058847983607296345
1000,5.0,0.001,True,0.5775548108957417,0.2362350029379356
1000,5.0,0.01,True,0.11644496602961074,0.03451408892617282
1000,10.0,0.01,True,0.19117012351546248,0.05836616634014924
1000,10.0,0.001,True,0.625302484372651,0.27782005765844053
2000,10.0,0.0001,True,0.6152204801924261,0.2750574651669203
