n_clusters,n_features,damping,reg,bias_value,avg_hr,avg_ndcg
50,1500,,0.0001,False,0.08618440514235558,0.0
50,500,,0.0001,False,0.08560247127913913,0.0
50,500,5.0,0.0001,True,0.08613106120489407,0.0
50,1500,5.0,0.0001,True,0.08593223380162844,0.0
100,500,,0.0001,False,0.0706758676876373,0.0
100,1500,,0.0001,False,0.06960898893840715,0.0
100,500,5.0,0.0001,True,0.06813960593378562,0.0
100,1500,5.0,0.0001,True,0.06817355207580658,0.0
150,1500,,0.0001,False,0.06631136371351395,4.861259081863614e-06
150,1500,5.0,0.0001,True,0.06608343961708751,4.861259081863614e-06
150,500,,0.0001,False,0.06781954230901659,4.476160935040386e-06
200,1500,,0.0001,False,0.06184987076218788,1.1737068777667731e-05
150,500,5.0,0.0001,True,0.06285855612509639,4.476160935040386e-06
200,500,,0.0001,False,0.05570561905639424,1.1737068777667731e-05
200,500,5.0,0.0001,True,0.05598688709028219,1.1737068777667731e-05
200,1500,5.0,0.0001,True,0.06091877658104156,0.0
50,1500,,0.001,False,0.09066044644026207,0.0
50,500,,0.001,False,0.0904034256506748,0.0
50,500,10.0,0.0001,True,0.0796424986300307,0.0
50,1500,10.0,0.0001,True,0.0796424986300307,0.0
100,1500,,0.001,False,0.08606316892085214,0.0
100,500,,0.001,False,0.08606316892085214,0.0
100,500,10.0,0.0001,True,0.06807656309860384,0.0
100,1500,10.0,0.0001,True,0.06825114325756877,0.0
150,1500,,0.001,False,0.07979283154469495,0.0
150,1500,10.0,0.0001,True,0.06608343961708751,4.861259081863614e-06
150,500,,0.001,False,0.07977828319811453,0.0
150,500,10.0,0.0001,True,0.0627955132899146,4.476160935040386e-06
200,1500,,0.001,False,0.07625758332565503,0.0
200,500,10.0,0.0001,True,0.05606932772090452,1.1737068777667731e-05
200,1500,10.0,0.0001,True,0.060070123030517585,0.0
200,500,,0.001,False,0.07446328724740434,0.0
50,1500,,0.01,False,0.09075258596860467,0.0
50,500,5.0,0.001,True,0.09031128612233219,0.0
50,1500,5.0,0.001,True,0.09031128612233219,0.0
50,500,,0.01,False,0.09075258596860467,0.0
100,1500,,0.01,False,0.09075258596860467,0.0
100,500,5.0,0.001,True,0.08198478242947689,0.0
100,1500,5.0,0.001,True,0.08198478242947689,0.0
100,500,,0.01,False,0.09075258596860467,0.0
150,1500,,0.01,False,0.09075258596860467,0.0
150,500,5.0,0.001,True,0.08123796730501578,0.0
150,1500,5.0,0.001,True,0.08123796730501578,0.0
150,500,,0.01,False,0.09075258596860467,0.0
