n_clusters,n_features,damping,reg,bias_value,avg_hr,avg_ndcg
50,500,5.0,0.0001,True,0.0006692239426989122,9.309316022229793e-06
50,500,-,0.0001,False,0.0006449766983982271,7.38010079653823e-06
50,1500,5.0,0.0001,True,0.0006692239426989122,0.0
100,500,5.0,0.0001,True,0.0012608567036356318,9.187540502008146e-06
100,500,-,0.0001,False,0.0009359436300064497,4.423509689473303e-06
50,1500,-,0.0001,False,0.0005237404768948009,0.0
150,500,5.0,0.0001,True,0.001828242220271666,0.00042895866481880055
150,500,-,0.0001,False,0.0013432973342579616,4.734777496990354e-06
100,1500,5.0,0.0001,True,0.0012366094593349467,3.6687913318462874e-05
200,500,5.0,0.0001,True,0.0024392727766489337,0.00038958592249252694
200,500,-,0.0001,False,0.001702156549908103,8.432310482839984e-05
150,1500,5.0,0.0001,True,0.0018379411179919403,3.472785527628258e-05
100,1500,-,0.0001,False,0.00106687874923015,7.028702244412918e-06
50,500,-,0.001,False,0.0006061811075171306,0.0005185468602857265
50,500,10.0,0.0001,True,0.0006546755961185011,8.613439239013482e-06
200,1500,5.0,0.0001,True,0.0023180365551455076,7.548067442473413e-05
100,500,10.0,0.0001,True,0.0012802544990761799,5.886213170443068e-06
100,500,-,0.001,False,0.001163867726432891,0.0005565744768435322
150,1500,-,0.0001,False,0.0012172116638943984,2.9352517368507827e-05
150,500,-,0.001,False,0.0018330916691318032,6.46319091595167e-06
150,500,10.0,0.0001,True,0.0018573389134324883,0.00043082936079977957
200,1500,-,0.0001,False,0.0012317600104748095,3.599798760388462e-05
200,500,-,0.001,False,0.0023034882085650964,0.00041574535793331875
50,1500,10.0,0.0001,True,0.0006595250449786382,6.681156299654887e-06
200,500,10.0,0.0001,True,0.0024004771857678376,6.901875508877639e-05
50,1500,-,0.001,False,0.0006061811075171306,0.0005223408570587067
100,1500,10.0,0.0001,True,0.0013287489876775505,0.0002262885747897211
50,500,5.0,0.001,True,0.0005722349654961713,0.00043401661062683156
100,1500,-,0.001,False,0.0011978138684538501,8.595574290559394e-06
50,500,-,0.01,False,8.244063062232978e-05,0.0
100,500,5.0,0.001,True,0.0008389546528037088,5.848123398158667e-06
150,1500,10.0,0.0001,True,0.0017845971805304328,4.4501691076742645e-05
150,1500,-,0.001,False,0.0016730598567472807,0.0007453646227746645
150,500,5.0,0.001,True,0.0012172116638943984,0.0003998459998918852
100,500,-,0.01,False,8.729007948246682e-05,0.0
200,1500,10.0,0.0001,True,0.002240445373383315,4.992737329295701e-05
200,500,5.0,0.001,True,0.001808844424831118,0.0003319219466689483
200,1500,-,0.001,False,0.002240445373383315,0.0004178004308770149
50,500,10.0,0.001,True,0.00043645039741233406,5.779905163490762e-05
150,500,-,0.01,False,7.759118176219272e-05,0.0
50,1500,5.0,0.001,True,0.0006158800052374048,1.2620079828845243e-05
100,500,10.0,0.001,True,0.0011056743401112463,0.0006684987603046394
50,1500,-,0.01,False,7.274173290205568e-05,0.0
150,500,10.0,0.001,True,0.001294802845656591,1.2787077202254666e-05
100,1500,5.0,0.001,True,0.0011590182775727538,0.0004753006357863781
200,500,10.0,0.001,True,0.001925231197474407,7.033249203442554e-06
150,1500,5.0,0.001,True,0.0016633609590270065,0.0003833572196353719
200,500,-,0.01,False,6.304283518178159e-05,0.0
200,1500,5.0,0.001,True,0.002269542066544137,0.0005540678491294242
50,500,5.0,0.01,True,0.00039280535767110067,0.0
100,1500,-,0.01,False,5.33439374615075e-05,0.0
50,1000,-,0.0001,False,0.0004800954371535675,0.0
100,500,5.0,0.01,True,0.0016197159192857732,0.0
